Family,Scientific Name,North,South,Pool,Shallowest,Deepest,Max.size,NW.gulf,NE.gulf,SW.gulf,SE.gulf,Range limit annual temp,Range limit min chloro,Range limit max chloro,Lat range,Islands occupied,Extralimital probabality
Psammobiidae,Sanguinolaria tellinoides,23.3,0.4,Species Pool,0,14,75,30.90,29.90,29.77,20.42,22.79,0.24,4.22,30.50,0,0.019965336
Semelidae,Semele barbarae,22.375,-2.7,Species Pool,0,101,54,27.23,NA,22.10,NA,23.64,0.33,8.40,29.93,0,0.014592081
Semelidae,Semele bicolor,22.375,-4.1,Species Pool,0,27,31,29.90,30.22,22.10,20.42,22.89,0.33,7.16,34.32,0,0.014556775
Semelidae,Semele californica,24.8,22.9,Species Pool,0,70,44,29.97,27.93,24.17,27.67,21.24,0.26,8.77,7.07,0,0.014803379
Semelidae,Semele flavescens,24.6,-4.7,Species Pool,0,5,69,31.02,31.40,22.88,20.42,20.04,0.41,6.98,36.10,1,0.327724996
Semelidae,Semele formosa,22.375,-2.2,Species Pool,0,100,77,28.37,28.40,22.10,20.42,21.89,0.23,7.50,30.60,1,0.014889737
Semelidae,Semele hanleyi,22.375,19.5,Species Pool,0,150,28,31.10,31.40,24.17,20.42,23.24,0.33,7.16,11.90,0,0.014556775
Semelidae,Semele jamesi,22.375,1.6,Species Pool,4,161,7,30.33,27.93,22.10,20.42,23.04,0.05,7.16,28.73,3,0.01561861
Semelidae,Semele jovis,22.375,9.7,Species Pool,0,100,71,31.12,31.50,24.17,20.42,23.24,0.33,15.90,21.80,0,0.022419629
Semelidae,Semele laevis,22.375,-3.7,Species Pool,0,27,89,NA,27.93,NA,20.42,23.95,0.33,7.16,31.63,0,0.014556775
Semelidae,Semele lenticularis,27.8,-3.9,Species Pool,0,44,30,30.33,31.40,22.87,20.42,17.78,0.41,8.97,35.30,0,0.653726578
Semelidae,Semele pallida,22.375,-3.5,Species Pool,13,128,41,26.67,27.95,22.10,20.42,23.93,0.33,7.96,31.45,0,0.014606535
Semelidae,Semele pilsbryi,22.375,-1.3,Species Pool,0,20,54,NA,27.93,NA,20.42,23.23,0.31,7.16,29.23,0,0.014556775
Semelidae,Semele purpurascens,22.375,-2.3,Species Pool,0,78,34,NA,27.93,NA,20.42,23.90,0.33,7.16,30.23,2,0.013729612
Semelidae,Semele rosea,24.6,-3.5,Species Pool,0,37,83,28.97,27.95,27.97,20.42,21.56,0.42,8.38,32.47,1,0.070002356
Semelidae,Semele tortuosa,22.375,-2,Species Pool,0,100,62,25.80,27.93,22.10,20.42,23.95,0.21,7.16,29.93,0,0.014556775
Semelidae,Semele verrucosa,28.3,2,Species Pool,0,128,27,31.08,31.50,24.27,20.42,18.35,0.20,5.25,29.50,0,0.165769174
Semelidae,Semelina campbellorum,22.375,-6.9,Species Pool,5,100,7,29.10,25.40,22.10,20.42,18.46,0.05,8.38,36.00,1,0.057065128
Semelidae,Semelina subquadrata,24.6,-2.2,Species Pool,0,220,7,25.80,27.90,22.10,20.42,21.56,0.21,7.07,30.10,1,0.014881426
Mytilidae,Septifer zeteki,22.9,-5.9,Species Pool,0,90,11,31.13,27.95,24.17,20.42,19.41,0.05,8.29,37.03,5,0.064684683
Tellinidae,Serratina brevirostris,22.375,-3.5,Species Pool,0,0,19,NA,27.90,NA,20.42,23.94,0.33,7.54,31.40,0,0.014606535
Tellinidae,Serratina martinicensis,24.6,1,Species Pool,10,90,13,31.02,27.90,30.68,20.42,21.56,0.37,7.07,30.02,1,0.023484743
Tellinidae,Serratina reclusa,22.375,6.4,Species Pool,0,40,23,NA,31.40,NA,20.42,23.24,0.29,7.16,25.00,0,0.014556775
Mactridae,Simomactra dolabriformis,24.6,0.9,Species Pool,0,0,94,31.02,31.30,30.02,20.42,21.56,0.35,6.98,30.40,0,0.056982676
Thraciidae,Skoglundia colpoica,22.375,-3.7,Species Pool,0,0,24,25.17,30.03,22.10,20.42,22.79,0.33,7.16,33.73,0,0.014556775
Solenidae,Solen pazensis,22.375,15.8,Species Pool,0,13,58,24.20,NA,22.10,NA,25.12,0.30,11.99,8.40,0,0.014664951
Solenidae,Solen pfeifferi,22.375,-3.5,Species Pool,0,40,49,31.02,28.80,22.10,20.42,22.50,0.33,7.54,34.52,0,0.014606535
Myidae,Sphenia gulfensis,22.375,23.2,Species Pool,0,68,13,25.80,31.40,22.10,23.20,23.24,0.21,4.83,9.30,0,0.019965336
Spondylidae,Spondylus crassisquama,28.3,-6.7,Species Pool,10,90,145,28.90,27.92,23.03,20.42,18.35,0.44,10.08,35.60,1,0.352579579
Spondylidae,Spondylus leucacanthus,28.3,-1.3,Species Pool,10,90,156,29.53,28.70,28.97,26.95,18.35,0.31,6.42,30.83,0,0.260468238
Spondylidae,Spondylus limbatus,22.375,-3.9,Species Pool,0.5,40,249,31.02,31.40,24.17,20.42,20.47,0.10,7.16,35.30,4,0.063543129
Tellinidae,Strigilla chroma,22.375,-4.1,Species Pool,0,13,25,NA,31.70,NA,20.42,23.00,0.33,7.16,35.80,0,0.014556775
Tellinidae,Strigilla cicercula,22.375,0,Species Pool,0,57,12,31.13,27.92,22.10,20.42,23.20,0.25,7.16,31.13,0,0.014556775
Tellinidae,Strigilla dichotoma,22.375,-1.1,Species Pool,0,0,9,30.30,30.60,22.10,20.42,23.04,0.26,7.16,31.70,0,0.014556775
